Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Web Servers,Amazon EC2,0,4035.2,48422.40,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (c5.4xlarge)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,4035.2,48422.40,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (c5.4xlarge)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,355.41,4264.92,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,1356.71,16280.52,USD,"DT Inbound: Internet (10 TB per month), DT Outbound: Internet (15 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (1356.71)"
My Estimate,US East (N. Virginia),,Classic Load Balancer,0,1204.5,14454.00,USD,"Number of Classic Load Balancers (2), Processed bytes per CLB (100 GB per hour)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,6446.719999999999,77360.64,USD,"Quantity (2), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage volume (General Purpose SSD (gp2)), Storage amount (3 TB per month), Instance type (db.m5.4xlarge), Additional backup storage (9 TB)"
My Estimate,US East (N. Virginia),,S3 Standard,0,1274.46,15293.52,USD,S3 Standard storage (20 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Amazon CloudFront (100 TB per month)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,300,3600.00,USD,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
"With More Budget:",,,,,,,,
"Enable better CloudWatch monitoring; Increase size of Backup from the RDS; Increase the power and the number of the machines",,,,,,,,
