User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
root,ASIAWMU7GKTCTVF5PGM4,2021-01-07T15:56:10Z,iam.amazonaws.com,GenerateServiceLastAccessedDetails,us-east-1,95.90.241.134,console.amazonaws.com,,[],3ac28d0b-0477-48ed-bdfa-4b9b5ab72bf3,0a83a760-d0dc-410c-8bf9-a8636912455c,false,AwsApiCall,439494268101,Management
CloudTrail,ASIAWMU7GKTCXN5ZB7NO,2021-01-07T15:46:33Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],3ed78706-7fd9-46b7-9a5c-1d080f35aea2,f1677f01-6eaa-4a91-8e59-6374fe78266f,false,AwsApiCall,439494268101,Management
root,ASIAWMU7GKTCTVF5PGM4,2021-01-07T15:43:54Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,95.90.241.134,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",d9e1bf4c-e991-4487-ae0e-cb8aede1956b,2820f176-b5fb-4333-99e4-bc53e4987efd,false,AwsApiCall,439494268101,Management
root,ASIAWMU7GKTCTVF5PGM4,2021-01-07T15:43:53Z,iam.amazonaws.com,AddUserToGroup,us-east-1,95.90.241.134,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",5c02ead9-fee7-4653-acbf-3dfb05847fdc,16d07433-39c7-4199-aad9-0c0fd7dee922,false,AwsApiCall,439494268101,Management
root,ASIAWMU7GKTCTVF5PGM4,2021-01-07T15:43:52Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,95.90.241.134,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",f1f60af0-6aa9-4db6-ab7a-44578f158e6e,02d6f2c4-b6d7-4f33-9b04-efb2b3cd1bdb,false,AwsApiCall,439494268101,Management
root,ASIAWMU7GKTCTVF5PGM4,2021-01-07T15:43:51Z,iam.amazonaws.com,CreateUser,us-east-1,95.90.241.134,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::439494268101:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAWMU7GKTCTWWHF753A""}]",aeb4d107-e0e8-4a8c-b8ff-535f1a3f54bc,892019cd-7fe2-47e0-bd42-4221b9dd59f3,false,AwsApiCall,439494268101,Management
root,ASIAWMU7GKTCTVF5PGM4,2021-01-07T15:43:05Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,95.90.241.134,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",739f254d-b6d1-4846-8c23-4c1c1b6acba2,da7f2698-98cc-4e4d-9b2c-73333dd499ab,false,AwsApiCall,439494268101,Management
root,ASIAWMU7GKTCTVF5PGM4,2021-01-07T15:43:01Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,95.90.241.134,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",af67d577-5777-47d5-af4c-33d1768191b7,5d6ec959-58d7-46f9-bcde-a805444364a1,false,AwsApiCall,439494268101,Management
root,ASIAWMU7GKTCTVF5PGM4,2021-01-07T15:43:01Z,iam.amazonaws.com,AddUserToGroup,us-east-1,95.90.241.134,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",af0065d4-9c8f-4844-ab19-081b97690a5f,876c76ce-593b-4f2f-9c97-d4333c428210,false,AwsApiCall,439494268101,Management
root,ASIAWMU7GKTCTVF5PGM4,2021-01-07T15:43:00Z,iam.amazonaws.com,CreateUser,us-east-1,95.90.241.134,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAWMU7GKTCWF3YCWOGR""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::439494268101:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",f56e37ce-4d73-4b6d-8875-762b500dea2c,a3ab239d-5df1-4211-b76f-7a1eb796a2fc,false,AwsApiCall,439494268101,Management
root,ASIAWMU7GKTCTVF5PGM4,2021-01-07T15:41:14Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,95.90.241.134,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",4f2f15ce-48bb-43b3-9d8a-191113d2b97e,18a70096-33c0-47b7-bb33-e807c152bedb,false,AwsApiCall,439494268101,Management
root,ASIAWMU7GKTCTVF5PGM4,2021-01-07T15:41:14Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,95.90.241.134,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",54019bb2-f63c-44e1-b628-2dd41e7b1ebc,57a1a500-6559-413b-a853-dd3dd15a2dde,false,AwsApiCall,439494268101,Management
